winner,total_rounds,rounds_since_last_stuck,average_rounds_between_stuck,total_stuck_events
Player 1,20.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,38.0,1.0,13.0,3.0
Player 2,19.0,0.0,0.0,0.0
Player 1,37.0,11.0,13.0,4.0
Player 2,15.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,57.0,9.0,14.2,5.0
Player 2,22.0,19.0,19.0,1.0
Player 1,21.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,15.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,13.0,0.0,0.0,0.0
Player 1,56.0,17.0,13.4,5.0
Player 1,25.0,7.0,7.0,1.0
Player 1,46.0,21.0,18.333333333333332,3.0
Player 1,18.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,35.0,3.0,17.0,2.0
Player 1,17.0,0.0,0.0,0.0
Player 2,58.0,13.0,18.0,4.0
Player 1,18.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,49.0,27.0,18.333333333333332,3.0
Player 2,19.0,0.0,0.0,0.0
Player 2,49.0,15.0,15.5,4.0
Player 2,19.0,0.0,0.0,0.0
Player 1,23.0,17.0,17.0,1.0
Player 2,18.0,0.0,0.0,0.0
Player 1,38.0,3.0,11.0,4.0
Player 1,37.0,1.0,17.0,2.0
Player 1,17.0,0.0,0.0,0.0
Player 1,30.0,17.0,11.0,2.0
Player 2,21.0,7.0,7.0,1.0
Player 2,22.0,0.0,0.0,0.0
Player 1,18.0,15.0,15.0,1.0
Player 2,18.0,0.0,0.0,0.0
Player 2,55.0,19.0,16.5,4.0
Player 1,33.0,23.0,15.0,2.0
Player 2,16.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,36.0,3.0,9.0,4.0
Player 1,33.0,21.0,11.0,3.0
Player 1,18.0,0.0,0.0,0.0
Player 1,15.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,26.0,7.0,8.0,2.0
Player 2,44.0,7.0,11.0,4.0
Player 2,18.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,32.0,29.0,29.0,1.0
Player 2,30.0,17.0,17.0,1.0
Player 2,36.0,9.0,14.0,2.0
Player 2,17.0,0.0,0.0,0.0
Player 1,27.0,29.0,29.0,1.0
Player 2,20.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,59.0,15.0,13.0,7.0
Player 2,19.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
